receipt,total,predicted
1000-receipt,56.58,55.58
1001-receipt,69.25,69.25
1002-receipt,7.61,
1003-receipt,5.35,5.35
1004-receipt,15.03,9.39
1005-receipt,179.94,179.94
1006-receipt,93.58,
1007-receipt,143.71,143.71
1008-receipt,24.47,24.47
1009-receipt,30.76,
1010-receipt,77.83,77.83
1011-receipt,64.43,64.43
1012-receipt,33.26,33.26
1013-receipt,9.58,
1014-receipt,48.53,48.53
1015-receipt,50.29,6
1016-receipt,35.52,
1017-receipt,11.04,20
1018-receipt,2.17,8.25
1019-receipt,45.58,2
1020-receipt,47.02,12.88
1021-receipt,69.76,69.76
1022-receipt,37.37,87.87
1023-receipt,30.15,30.15
1024-receipt,33.92,
1025-receipt,7.27,1.27
1026-receipt,51.82,80.5
1027-receipt,41.31,44.44
1028-receipt,34.21,9.81
1029-receipt,30.98,30.98
1030-receipt,94.78,94.78
1031-receipt,44.35,40.5
1032-receipt,9.5,5.75
1033-receipt,46.73,
1034-receipt,17,46.29
1035-receipt,26.38,5.5
1036-receipt,52.76,52.76
1037-receipt,164.89,199
1038-receipt,17.8,20
1039-receipt,13.05,
1040-receipt,28.04,
1041-receipt,17,46.29
1042-receipt,55.39,55.39
1043-receipt,26.67,28.67
1044-receipt,10.94,10.84
1045-receipt,22.03,7.2
1046-receipt,38.86,
1047-receipt,85.07,416
1048-receipt,91.45,91.45
1049-receipt,77.49,
1050-receipt,26.96,
1051-receipt,10.7,10.7
1052-receipt,94.18,88.5
1053-receipt,52.47,
1054-receipt,56.5,60
1055-receipt,30.58,6.99
1056-receipt,152,164
1057-receipt,9.58,9.58
1058-receipt,37.6,
1059-receipt,7.55,
1060-receipt,83.5,83.5
1061-receipt,26.37,26.37
1062-receipt,142.01,132.26
1063-receipt,52.47,
1064-receipt,19.44,718
1065-receipt,45.79,55.14
1066-receipt,82,15
1067-receipt,40.3,
1068-receipt,42.9,
1069-receipt,10.9,10.9
1070-receipt,10.95,70
1071-receipt,75.5,69.5
1072-receipt,21.69,8.45
1073-receipt,13.22,10.58
1074-receipt,33.73,9.98
1075-receipt,14.36,20
1076-receipt,25.78,
1077-receipt,69.79,69.79
1078-receipt,14.18,14.18
1079-receipt,235.19,219.81
1080-receipt,92.22,92.22
1081-receipt,9.97,9.97
1082-receipt,6.56,
1083-receipt,13.78,13.78
1084-receipt,125.99,
1085-receipt,228.92,228.92
1086-receipt,157.51,157.51
1087-receipt,10.81,
1088-receipt,13.03,13.03
1089-receipt,142.93,811.5
1090-receipt,32.66,90.33
1091-receipt,28.78,28.78
1092-receipt,43.3,43.3
1093-receipt,38.23,9.93
1094-receipt,16.23,16.23
1095-receipt,10.25,9.79
1096-receipt,46.98,46.98
1097-receipt,13.12,
1098-receipt,67.89,687.89
1099-receipt,64.52,64.52
1100-receipt,26.15,26.18
1101-receipt,14.06,14.06
1102-receipt,16.24,29.85
1103-receipt,42.74,42.74
1104-receipt,56.38,22.95
1105-receipt,22.87,10
1106-receipt,75.15,75.15
1107-receipt,144.28,144.28
1108-receipt,52.06,82.06
1109-receipt,27.62,27.62
1110-receipt,160.07,160.07
1111-receipt,55.95,
1112-receipt,184.47,443
1113-receipt,29.96,29.96
1114-receipt,17,46.29
1115-receipt,79.17,
1116-receipt,34.12,34.12
1117-receipt,173.07,
1118-receipt,4.99,4.99
1119-receipt,27.44,25.2
1120-receipt,23.46,23.46
1121-receipt,71.58,71.58
1122-receipt,47.7,
1123-receipt,21.76,21.76
1124-receipt,83.64,
1125-receipt,19.1,19.1
1126-receipt,39.18,
1127-receipt,26.76,
1128-receipt,68.99,68.99
1129-receipt,17.18,17.18
1130-receipt,47.09,47.09
1131-receipt,28.31,40
1132-receipt,61.8,86.7
1133-receipt,146.57,173.46
1134-receipt,21.73,21.73
1135-receipt,146.73,146.73
1136-receipt,13.13,13.13
1137-receipt,14.17,14.49
1138-receipt,25.94,25.94
1139-receipt,617,2291
1140-receipt,25.47,62.75
1141-receipt,88.62,88.62
1142-receipt,83.44,
1143-receipt,84.78,84.78
1144-receipt,46.4,48.4
1145-receipt,65.14,80.87
1146-receipt,13.26,
1147-receipt,13,13
1148-receipt,13.07,
1149-receipt,5.29,3.99
1150-receipt,80.45,74.49
1151-receipt,13.53,
1152-receipt,62.7,28
1153-receipt,313.49,92
1154-receipt,73.24,
1155-receipt,129.75,129.75
1156-receipt,14.85,
1157-receipt,9.7,7.88
1158-receipt,780.45,780.45
1159-receipt,6.59,6.59
1160-receipt,33.34,19.95
1161-receipt,53.23,
1162-receipt,333.72,308
1163-receipt,41.32,41.32
1164-receipt,22.7,
1165-receipt,117,117
1166-receipt,42.16,42.16
1167-receipt,33.75,
1168-receipt,7.61,1
1169-receipt,46.39,45.39
1170-receipt,109.28,814
1171-receipt,523,24.6
1172-receipt,17.75,
1173-receipt,16.56,
1174-receipt,55.38,55.38
1175-receipt,7.56,10
1176-receipt,41.45,41.45
1177-receipt,47.9,45.45
1178-receipt,11.91,11.91
1179-receipt,54.2,
1180-receipt,12.03,
1181-receipt,439.86,
1182-receipt,50.8,
1183-receipt,10,
1184-receipt,193.35,193.35
1185-receipt,28.4,62.95
1186-receipt,52.47,
1187-receipt,50.38,13.99
1188-receipt,26.96,24.95
1189-receipt,27.08,0.9
1190-receipt,118.46,154
1191-receipt,29.98,927.45
1192-receipt,37.29,
1193-receipt,19.19,9.99
1194-receipt,65.1,
1195-receipt,33.75,33.75
1196-receipt,58.3,
1197-receipt,34,0.5
1198-receipt,154.78,154.76
1199-receipt,128.33,13
